                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.98677,                0.58028,                0.92682,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0009161,              0.0009161,              0.0009161
                     94,                0.96342,                0.59007,                0.92488,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00090785,             0.00090785,             0.00090785
                     95,                 0.9454,                0.58789,                 0.8933,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0008996,              0.0008996,              0.0008996
                     96,                0.98619,                 0.6301,                0.91572,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00089134,             0.00089134,             0.00089134
                     97,                0.97102,                0.60849,                 0.9168,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00088309,             0.00088309,             0.00088309
                     98,                0.94607,                0.59896,                0.93375,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00087484,             0.00087484,             0.00087484
                     99,                0.93504,                0.54496,                0.90384,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00086659,             0.00086659,             0.00086659
                    100,                0.95051,                0.58855,                0.91067,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00085834,             0.00085834,             0.00085834
                    101,                0.99929,                0.60294,                 0.9353,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00085009,             0.00085009,             0.00085009
                    102,                0.95159,                0.57966,                0.91514,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00084184,             0.00084184,             0.00084184
                    103,                0.97256,                 0.5898,                0.91845,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00083358,             0.00083358,             0.00083358
                    104,                0.91312,                0.56163,                0.90474,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00082533,             0.00082533,             0.00082533
                    105,                0.89303,                0.53128,                0.90629,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00081708,             0.00081708,             0.00081708
                    106,                0.88097,                0.55459,                0.91036,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00080883,             0.00080883,             0.00080883
                    107,                 0.8933,                0.53452,                0.91656,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00080058,             0.00080058,             0.00080058
                    108,                0.89191,                0.54811,                0.91011,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00079233,             0.00079233,             0.00079233
                    109,                0.89596,                0.53966,                0.89602,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00078407,             0.00078407,             0.00078407
                    110,                0.89342,                0.59376,                0.90672,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00077582,             0.00077582,             0.00077582
                    111,                0.88992,                0.53783,                0.90563,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00076757,             0.00076757,             0.00076757
                    112,                0.93156,                0.55202,                0.91072,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00075932,             0.00075932,             0.00075932
                    113,                0.87814,                0.52331,                0.91071,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00075107,             0.00075107,             0.00075107
                    114,                0.95738,                0.54016,                0.90524,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00074282,             0.00074282,             0.00074282
                    115,                0.91454,                0.51979,                0.90792,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00073456,             0.00073456,             0.00073456
                    116,                0.91472,                0.54523,                0.90289,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00072631,             0.00072631,             0.00072631
                    117,                0.89745,                0.53474,                0.91717,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00071806,             0.00071806,             0.00071806
                    118,                0.89126,                0.54481,                0.90848,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00070981,             0.00070981,             0.00070981
                    119,                0.89855,                0.54626,                0.92178,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00070156,             0.00070156,             0.00070156
                    120,                0.86588,                0.52046,                0.90145,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00069331,             0.00069331,             0.00069331
                    121,                 0.9325,                0.54798,                 0.9036,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00068505,             0.00068505,             0.00068505
                    122,                0.90223,                0.52537,                0.89925,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                    123,                0.86809,                0.53907,                0.87817,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00066855,             0.00066855,             0.00066855
                    124,                0.86487,                0.50671,                0.89568,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0006603,              0.0006603,              0.0006603
                    125,                0.88496,                0.52426,                0.88579,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00065205,             0.00065205,             0.00065205
                    126,                0.88934,                0.49556,                0.90553,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0006438,              0.0006438,              0.0006438
                    127,                0.85698,                0.48727,                0.88353,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00063554,             0.00063554,             0.00063554
                    128,                0.83037,                0.52819,                0.89228,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00062729,             0.00062729,             0.00062729
                    129,                0.91034,                0.56954,                 0.9078,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00061904,             0.00061904,             0.00061904
                    130,                0.89064,                0.51028,                 0.9067,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00061079,             0.00061079,             0.00061079
                    131,                0.88636,                0.50723,                0.90079,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00060254,             0.00060254,             0.00060254
                    132,                0.86504,                 0.5119,                0.89519,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00059429,             0.00059429,             0.00059429
                    133,                0.92754,                0.54774,                0.89938,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00058603,             0.00058603,             0.00058603
                    134,                0.85944,                 0.4981,                0.89676,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00057778,             0.00057778,             0.00057778
                    135,                0.82071,                0.47937,                0.89602,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00056953,             0.00056953,             0.00056953
